# index 1:Lowest energy: E0 = -0.499978
 0.0273608 0.0273649 
0.0366145 0.0352922 0.0352982 
0.0448054 0.0428344 0.0428422 
0.0528071 0.0500812 0.0500909 
0.0606832 0.0570988 0.0571102 
0.0684777 0.0639323 0.0639454 
0.0762207 0.0706121 0.0706269 
0.0839327 0.0771589 0.0771755 
0.091628 0.0835871 0.0836054 
0.0993162 0.0899065 0.0899265 
0.107004 0.096124 0.0961458 
0.114697 0.102245 0.102268 
0.122399 0.108273 0.108298 
0.130112 0.114211 0.114238 
0.137838 0.120062 0.12009 
0.14558 0.125827 0.125857 
0.153338 0.131507 0.131539 
0.161114 0.137106 0.137139 
0.168908 0.142623 0.142658 
0.176723 0.14806 0.148096 
0.184559 0.153417 0.153456 
0.192417 0.158697 0.158737 
0.200297 0.1639 0.163941 
0.208201 0.169026 0.169069 
0.21613 0.174077 0.174121 
0.224084 0.179053 0.179099 
0.232064 0.183955 0.184002 
0.24007 0.188784 0.188833 
0.248105 0.193541 0.193591 
0.256168 0.198225 0.198277 
0.264261 0.202839 0.202893 
0.272384 0.207383 0.207437 
0.280539 0.211856 0.211913 
0.288726 0.216261 0.216318 
0.296945 0.220597 0.220656 
0.305199 0.224864 0.224925 
0.313488 0.229065 0.229126 
0.321813 0.233198 0.233261 
0.330175 0.237265 0.237329 
0.338575 0.241266 0.241331 
0.347015 0.245201 0.245268 
0.355494 0.249071 0.24914 
0.364015 0.252877 0.252947 
0.372578 0.256619 0.25669 
0.381185 0.260297 0.260369 
0.389837 0.263911 0.263985 
0.398535 0.267463 0.267538 
0.40728 0.270952 0.271028 
0.416075 0.274378 0.274456 
0.424919 0.277743 0.277822 
0.433814 0.281046 0.281126 
0.442763 0.284288 0.284369 
0.451766 0.287468 0.28755 
0.460824 0.290588 0.290671 
0.46994 0.293647 0.293731 
0.479115 0.296645 0.296731 
0.488351 0.299584 0.29967 
0.497648 0.302462 0.30255 
0.50701 0.30528 0.305369 
0.516437 0.308038 0.308128 
0.525932 0.310737 0.310828 
0.535496 0.313376 0.313468 
0.545132 0.315955 0.316049 
0.554841 0.318475 0.318569 
0.564625 0.320936 0.321031 
0.574486 0.323336 0.323432 
0.584427 0.325677 0.325774 
0.59445 0.327959 0.328057 
0.604557 0.33018 0.330279 
0.61475 0.332342 0.332442 
0.625032 0.334444 0.334545 
0.635404 0.336485 0.336587 
0.645871 0.338466 0.338569 
0.656433 0.340387 0.340491 
0.667095 0.342247 0.342351 
0.677858 0.344045 0.344151 
0.688726 0.345782 0.345889 
0.699701 0.347458 0.347565 
0.710787 0.349071 0.349179 
0.721986 0.350622 0.350731 
0.733302 0.35211 0.35222 
0.744737 0.353534 0.353645 
0.756297 0.354895 0.355007 
0.767982 0.356192 0.356304 
0.779799 0.357423 0.357536 
0.791749 0.358589 0.358703 
0.803838 0.359689 0.359804 
0.816068 0.360723 0.360838 
0.828445 0.361689 0.361805 
0.840972 0.362587 0.362704 
0.853654 0.363416 0.363534 
0.866495 0.364175 0.364294 
0.8795 0.364865 0.364984 
0.892673 0.365483 0.365603 
0.906021 0.366029 0.366149 
0.919549 0.366502 0.366623 
0.933261 0.366901 0.367023 
0.947164 0.367225 0.367347 
0.961263 0.367473 0.367596 
0.975565 0.367644 0.367768 
0.990076 0.367737 0.367861 
1.0048 0.36775 0.367875 
1.01975 0.367683 0.367809 
1.03493 0.367534 0.36766 
1.05035 0.367302 0.367428 
1.06602 0.366985 0.367112 
1.08194 0.366582 0.36671 
1.09812 0.366092 0.36622 
1.11458 0.365512 0.365641 
1.13132 0.364842 0.364972 
1.14836 0.36408 0.36421 
1.1657 0.363224 0.363354 
1.18335 0.362271 0.362402 
1.20134 0.361221 0.361352 
1.21966 0.360071 0.360203 
1.23834 0.358819 0.358951 
1.2574 0.357463 0.357595 
1.27683 0.356 0.356133 
1.29668 0.354429 0.354562 
1.31694 0.352746 0.35288 
1.33764 0.350949 0.351083 
1.3588 0.349035 0.349169 
1.38044 0.347001 0.347136 
1.40259 0.344844 0.344979 
1.42527 0.342561 0.342697 
1.44851 0.340148 0.340284 
1.47234 0.337601 0.337737 
1.49678 0.334917 0.335053 
1.52188 0.33209 0.332228 
1.54768 0.329118 0.329255 
1.57421 0.325994 0.326131 
1.60151 0.322713 0.322851 
1.62965 0.31927 0.319409 
1.65867 0.315659 0.315798 
1.68863 0.311873 0.312012 
1.71961 0.307905 0.308044 
1.75167 0.303747 0.303886 
1.7849 0.299391 0.299531 
1.8194 0.294827 0.294967 
1.85526 0.290046 0.290186 
1.8926 0.285036 0.285176 
1.93156 0.279785 0.279926 
1.97228 0.27428 0.274421 
2.01495 0.268506 0.268648 
2.05974 0.262448 0.26259 
2.10688 0.256089 0.256232 
2.15662 0.249412 0.249555 
2.20922 0.242398 0.242541 
2.265 0.23503 0.235175 
2.32427 0.227296 0.227441 
2.38735 0.219187 0.219332 
2.45452 0.210708 0.210854 
2.52596 0.201883 0.202029 
2.6017 0.192763 0.192909 
2.6815 0.18343 0.183577 
2.76485 0.173999 0.174145 
2.85102 0.164601 0.164747 
2.93916 0.155367 0.155512 
3.02845 0.146405 0.146549 
3.11825 0.137792 0.137934 
3.20813 0.129571 0.129712 
3.29786 0.121756 0.121896 
3.38738 0.114344 0.114484 
3.47675 0.10732 0.107459 
3.56609 0.100661 0.1008 
3.6556 0.0943432 0.0944825 
3.74549 0.0883434 0.0884838 
3.83598 0.0826393 0.0827813 
3.9273 0.0772107 0.0773552 
4.0197 0.0720398 0.0721873 
4.11341 0.0671107 0.0672621 
4.20869 0.0624095 0.0625658 
4.30578 0.0579242 0.0580864 
4.40497 0.0536441 0.0538133 
4.50652 0.04956 0.0497375 
4.61074 0.0456638 0.0458511 
4.71796 0.0419484 0.0421472 
4.82853 0.0384074 0.0386198 
4.94285 0.0350353 0.0352636 
5.06133 0.0318273 0.0320742 
5.18449 0.0287788 0.0290476 
5.31287 0.0258859 0.0261806 
5.4471 0.0231449 0.0234703 
5.58792 0.0205522 0.0209144 
5.73619 0.0181045 0.0185109 
5.8929 0.0157982 0.0162582 
6.05926 0.0136293 0.0141552 
6.23669 0.0115933 0.012201 
6.42694 0.00968415 0.0103949 
6.63216 0.00789376 0.00873667 
6.85502 0.0062104 0.00722623 
7.0989 0.00461626 0.00586379 
7.36806 0.003083 0.00464991 
7.66779 0.00156397 0.00358584 
8 -1.59702e-06 0.0026837 
